company_size,industry,tech_stack_keywords,page_visits,intent_signal,historical_conversion_rate,converted
1178,Education,"React, SQL, Java",19,0.09,0.24,0
1092,Retail,"AWS, Java, React",60,0.75,0.48,1
4980,Finance,"AWS, Java, SQL",26,0.25,0.3,0
2792,Retail,Kotlin,79,0.8,0.42,1
1750,Finance,"Java, SQL",25,0.76,0.83,1
2676,Finance,AWS,15,0.2,0.47,0
782,Education,"Kotlin, Python",84,0.91,0.64,1
3049,Finance,"Java, SQL",94,0.16,0.09,1
2106,Tech,"AWS, React, Python",21,0.8,0.76,1
3868,Tech,"React, SQL",47,0.42,0.48,1
4977,Tech,"AWS, Java",35,0.18,0.36,0
4543,Education,"AWS, Python",44,0.94,0.61,1
2114,Retail,"Python, AWS, SQL",6,0.96,0.1,0
3971,Health,Python,75,0.51,0.41,1
1992,Finance,React,23,0.47,0.81,1
1068,Health,Kotlin,39,0.9,0.26,1
1578,Retail,AWS,73,0.6,0.91,1
1012,Retail,"SQL, Kotlin, AWS",18,0.27,0.6,0
2275,Education,"Kotlin, Java",100,0.43,0.54,1
4870,Tech,"SQL, AWS, NodeJS",40,0.84,0.4,1
1815,Tech,"NodeJS, AWS, Kotlin",36,0.86,0.74,1
2427,Retail,React,28,0.94,0.56,1
4403,Education,Kotlin,64,0.29,0.8,1
4875,Education,"React, Java, Kotlin",83,0.68,0.33,1
2552,Finance,SQL,94,0.07,0.7,1
3658,Tech,SQL,58,0.73,0.94,1
8,Retail,SQL,38,0.56,0.28,1
2556,Health,"Java, React, Python",79,0.25,0.98,1
476,Tech,"AWS, Python",44,0.65,0.41,1
2212,Finance,"SQL, Java, Kotlin",76,0.14,0.04,1
485,Education,"React, SQL, Java",2,0.33,0.36,0
4655,Retail,"Java, AWS, React",73,0.4,0.15,1
2286,Tech,SQL,35,0.78,0.3,1
4564,Health,AWS,1,0.31,0.1,0
3526,Finance,"AWS, SQL",46,0.05,0.18,0
3340,Finance,"Java, React",60,0.18,0.13,1
2823,Tech,"AWS, NodeJS, Python",63,0.61,0.04,1
4944,Health,"Python, AWS",95,0.02,0.3,1
2925,Finance,"NodeJS, Python",92,0.79,0.94,1
259,Retail,"React, Kotlin",45,0.9,0.95,1
283,Finance,Java,57,0.5,0.85,1
1899,Health,"Kotlin, React",37,0.71,0.01,1
4136,Education,NodeJS,7,0.46,0.03,0
2977,Education,"Python, NodeJS, SQL",16,0.31,0.01,0
2268,Tech,Java,50,0.16,0.37,1
3201,Health,SQL,14,0.52,0.98,1
613,Finance,NodeJS,97,0.93,0.9,1
688,Finance,"SQL, Kotlin, React",6,0.89,0.25,0
3691,Education,"Kotlin, AWS, Java",61,0.92,0.41,1
613,Education,"AWS, Java, Python",21,0.97,0.82,1
2308,Retail,"SQL, NodeJS, Python",10,0.17,0.76,0
3014,Education,Kotlin,32,0.15,0.13,0
1782,Retail,"Kotlin, NodeJS",6,0.43,0.11,0
2592,Finance,"AWS, NodeJS, Java",2,0.69,0.54,0
2697,Retail,AWS,39,0.44,0.1,0
3959,Retail,"React, Kotlin, Python",49,0.89,0.83,1
575,Tech,Java,27,0.72,0.25,1
1911,Education,"NodeJS, Kotlin",56,0.63,0.19,1
3605,Retail,"React, Java",14,0.07,0.19,0
670,Finance,"NodeJS, SQL",23,0.18,0.05,0
4365,Health,SQL,85,0.43,0.64,1
1284,Retail,AWS,51,0.98,0.16,1
924,Education,"Python, AWS",94,0.33,0.23,1
1126,Tech,NodeJS,25,0.63,0.75,1
1530,Finance,"SQL, Kotlin, React",53,0.99,0.06,1
1595,Tech,AWS,88,0.26,0.2,1
247,Health,"AWS, SQL, Python",11,0.17,0.15,0
3712,Retail,"AWS, SQL, React",35,0.55,0.0,0
1561,Retail,"Kotlin, Java, NodeJS",55,0.55,0.54,1
2401,Education,"React, Python, Kotlin",58,0.92,0.19,1
2244,Retail,"SQL, Kotlin, NodeJS",68,0.03,0.63,1
3865,Finance,SQL,37,0.41,0.5,1
1940,Health,NodeJS,100,0.31,0.67,1
3070,Tech,React,77,0.57,0.98,1
227,Health,"React, Java",9,0.01,0.22,0
3548,Retail,"Kotlin, NodeJS, SQL",28,0.71,0.67,1
265,Tech,"Kotlin, React, AWS",55,0.48,0.83,1
1396,Education,Python,46,0.7,0.96,1
3558,Health,Python,80,0.45,0.62,1
646,Tech,"Kotlin, AWS, React",70,0.47,0.13,1
2991,Tech,"Kotlin, AWS, React",27,0.9,0.05,1
1900,Tech,NodeJS,10,0.21,0.28,0
2505,Finance,"SQL, Java",23,0.22,0.93,1
2773,Health,AWS,21,0.56,0.54,1
1155,Tech,"Java, Kotlin, Python",90,0.66,0.58,1
588,Health,"Java, SQL, NodeJS",45,0.35,0.61,1
4572,Tech,"React, Python",3,0.52,0.33,0
1822,Education,"Python, React",59,0.23,0.18,1
986,Education,"React, Python",43,0.14,0.95,1
4080,Education,"Python, AWS",99,0.24,0.76,1
3349,Retail,"SQL, NodeJS, Python",7,0.92,0.51,1
3832,Tech,"NodeJS, Python",27,0.8,0.38,1
1242,Retail,"AWS, NodeJS, Kotlin",62,0.14,0.48,1
190,Health,React,42,0.05,0.03,0
981,Retail,"Kotlin, React, NodeJS",97,0.09,0.25,1
1699,Health,Kotlin,4,0.29,0.25,0
1716,Health,"AWS, Kotlin",90,0.81,0.45,1
2594,Health,AWS,62,0.32,0.24,1
4137,Retail,"Python, Kotlin, Java",8,0.19,0.19,0
4434,Tech,"Java, React, Python",84,0.4,0.77,1
1099,Retail,"NodeJS, React, Kotlin",17,0.12,0.89,0
2327,Tech,"Java, NodeJS, Python",5,0.47,0.07,0
3248,Tech,Java,63,0.68,0.21,1
896,Health,"NodeJS, Python, React",9,0.37,0.77,0
1675,Retail,"Kotlin, React",8,0.17,0.82,0
2910,Tech,SQL,7,0.45,0.5,0
931,Education,"SQL, NodeJS, Python",37,0.76,0.69,1
4385,Tech,"NodeJS, Java, React",100,0.08,0.08,1
724,Education,NodeJS,55,0.07,0.85,1
2941,Retail,"SQL, React",67,0.32,0.83,1
1090,Retail,AWS,8,0.42,0.69,0
4579,Retail,"React, NodeJS",69,0.22,0.92,1
936,Tech,"AWS, React",5,0.03,0.05,0
2296,Finance,Kotlin,17,0.22,0.23,0
156,Tech,"NodeJS, SQL",58,0.44,0.36,1
1071,Tech,"React, Kotlin",63,0.08,0.16,1
1959,Health,"SQL, Kotlin",27,0.72,0.81,1
2502,Health,"NodeJS, Kotlin, React",76,0.55,0.76,1
4220,Tech,"AWS, Java, SQL",92,0.43,0.77,1
3831,Education,NodeJS,68,0.52,0.29,1
855,Health,"Java, SQL, AWS",28,0.66,0.76,1
640,Tech,"AWS, Python",89,0.99,0.12,1
2239,Finance,"SQL, Kotlin",58,0.78,0.11,1
1603,Education,"Python, SQL, Kotlin",50,0.54,0.58,1
442,Retail,"Kotlin, Java",100,0.77,0.05,1
4629,Tech,"Python, Kotlin, React",67,0.48,0.94,1
1337,Tech,NodeJS,31,0.31,0.33,0
3701,Education,"Java, NodeJS",12,0.26,0.48,0
949,Health,Java,55,0.4,0.81,1
3374,Health,"Java, Kotlin, SQL",4,0.0,0.4,0
460,Health,SQL,94,0.18,0.43,1
4647,Retail,"SQL, Kotlin",42,0.13,0.35,0
393,Education,NodeJS,91,0.96,0.35,1
3939,Education,Kotlin,54,0.06,0.47,1
1788,Health,"React, Kotlin",22,0.5,0.95,1
4941,Health,Python,1,0.92,0.94,1
2258,Finance,"React, Python, Kotlin",48,0.61,0.55,1
1139,Finance,"React, NodeJS, Kotlin",43,0.5,0.46,1
3809,Tech,"React, SQL",20,0.74,0.81,1
4742,Tech,"React, AWS, Java",18,0.35,0.68,0
2455,Education,"NodeJS, Java",70,0.19,0.88,1
1467,Education,Kotlin,49,0.85,0.73,1
3675,Retail,"Java, React, SQL",76,0.06,0.95,1
1378,Retail,"Java, Kotlin, Python",17,0.81,0.89,1
2598,Finance,"React, SQL",53,0.1,0.86,1
142,Tech,Java,22,0.63,0.39,1
2660,Finance,React,82,0.48,0.39,1
4597,Finance,"Python, Kotlin, React",10,1.0,0.74,1
840,Tech,Java,24,0.39,0.08,0
3619,Retail,"AWS, NodeJS",84,0.96,0.32,1
3918,Tech,"NodeJS, SQL",12,0.4,0.93,1
596,Health,"Java, Python, SQL",4,0.68,0.45,0
1905,Health,"React, AWS, Python",42,0.64,0.27,1
281,Health,SQL,5,0.09,0.48,0
424,Education,"NodeJS, React",26,0.74,0.29,1
4366,Retail,"Java, Python",100,0.21,0.77,1
4250,Retail,"AWS, React",59,0.39,0.85,1
1751,Education,"Python, SQL",62,0.78,0.78,1
4758,Finance,SQL,80,0.94,0.15,1
1968,Health,AWS,5,0.56,0.34,0
4089,Health,"Kotlin, SQL, Java",26,0.52,0.21,0
4179,Finance,Python,83,0.5,0.04,1
2947,Tech,AWS,6,0.82,0.74,1
1450,Tech,React,24,0.99,0.43,1
2332,Retail,"React, Python",95,0.63,0.28,1
2221,Education,AWS,95,0.38,0.31,1
3790,Retail,"SQL, Java",53,0.22,0.14,1
2811,Tech,SQL,7,0.2,0.83,0
4729,Finance,"SQL, AWS, NodeJS",10,0.86,0.14,0
1532,Retail,"NodeJS, Python, Java",39,0.99,0.34,1
4883,Health,"NodeJS, Java, React",86,0.7,0.01,1
2991,Health,NodeJS,78,0.96,0.44,1
4494,Finance,React,28,0.35,0.35,0
1144,Tech,Java,42,0.63,0.72,1
934,Health,"Java, Python",62,0.51,0.72,1
1461,Health,"Python, React, SQL",52,0.48,0.04,1
2724,Education,"Kotlin, SQL",22,0.63,0.12,0
2513,Retail,"Python, Java",57,0.31,0.9,1
286,Tech,Java,96,0.64,0.79,1
265,Retail,"Java, AWS",11,0.67,0.39,0
2368,Tech,"SQL, Java",14,0.84,0.17,0
3448,Health,NodeJS,31,0.73,0.26,1
4917,Education,"Kotlin, AWS, Java",4,0.32,0.66,0
1763,Retail,"Kotlin, Python, NodeJS",22,0.45,0.95,1
3049,Health,"React, Java",93,0.12,0.62,1
2382,Tech,"Kotlin, Java",99,0.26,0.03,1
2270,Retail,AWS,64,0.52,0.65,1
41,Retail,"AWS, SQL",77,0.1,0.94,1
68,Health,Java,84,0.57,0.36,1
988,Retail,Java,83,0.39,0.93,1
4009,Education,"Python, Kotlin",79,0.03,0.67,1
3199,Education,Java,90,0.43,0.19,1
4791,Health,"React, SQL",84,0.28,0.15,1
2525,Tech,"Java, Python, NodeJS",61,0.07,0.18,1
1086,Health,"AWS, React, NodeJS",100,0.29,0.7,1
2480,Education,React,6,0.29,0.59,0
1694,Finance,"Kotlin, AWS",79,0.36,0.46,1
2316,Finance,"AWS, NodeJS, React",68,0.37,0.26,1
779,Retail,"Kotlin, NodeJS, SQL",6,0.43,0.91,1
4590,Retail,"Java, Kotlin",66,0.09,0.21,1
1586,Finance,"React, AWS",36,0.01,0.28,0
1493,Education,"Java, AWS",15,0.74,0.05,0
661,Retail,"AWS, Python, SQL",76,0.34,0.28,1
1349,Health,"NodeJS, SQL, React",40,0.61,0.92,1
1300,Health,"Python, React, NodeJS",41,0.31,0.19,0
3941,Education,NodeJS,7,0.98,0.2,0
1987,Retail,"NodeJS, AWS, Python",22,0.32,0.6,0
2045,Health,"Java, Kotlin",72,0.61,0.57,1
3517,Retail,Java,11,0.22,0.18,0
1059,Retail,"NodeJS, Kotlin, Python",2,0.52,0.15,0
977,Health,"Python, Kotlin",30,0.58,0.12,0
4578,Finance,"AWS, React",68,0.18,0.86,1
728,Health,Python,53,0.12,0.65,1
2528,Education,"NodeJS, Kotlin",89,0.97,0.95,1
3137,Tech,Kotlin,21,0.89,0.17,1
343,Health,"Python, SQL, React",25,0.66,0.46,1
1448,Retail,NodeJS,73,0.86,0.74,1
2380,Retail,"Java, NodeJS",72,0.1,0.21,1
3660,Health,Java,5,0.73,0.68,1
527,Tech,"React, Kotlin, AWS",92,0.29,0.47,1
1897,Health,Java,66,0.54,0.43,1
4755,Tech,"Java, Kotlin, Python",85,0.76,0.64,1
2074,Tech,"Python, AWS",49,0.03,0.47,1
4916,Education,"React, AWS",8,0.69,0.82,1
406,Retail,React,98,0.43,0.93,1
1574,Retail,"Python, NodeJS, Java",87,0.44,0.59,1
4601,Tech,"Java, React",79,0.91,0.3,1
3741,Retail,NodeJS,27,0.86,0.78,1
4275,Finance,React,2,0.06,0.17,0
4228,Tech,React,28,0.62,0.09,0
1847,Retail,"Python, AWS, SQL",11,0.44,0.52,0
1479,Finance,AWS,46,0.12,0.65,1
2396,Education,"AWS, NodeJS",21,0.85,0.83,1
772,Retail,SQL,42,0.07,0.96,1
579,Finance,Python,32,0.03,0.87,1
2902,Health,Python,32,0.2,0.99,1
194,Health,"Java, React, SQL",71,0.3,0.48,1
2008,Finance,"AWS, React, Java",22,0.06,0.32,0
1186,Tech,"SQL, Python, Kotlin",78,0.64,0.46,1
2395,Tech,"AWS, Python",77,0.44,0.64,1
2999,Retail,NodeJS,21,0.41,0.51,0
1793,Health,"Java, NodeJS",22,0.15,0.63,0
1111,Tech,Python,34,0.44,0.89,1
4006,Tech,"Python, Java, Kotlin",10,0.39,0.17,0
2262,Health,AWS,65,0.38,0.12,1
3737,Education,"Java, SQL, Python",65,0.22,0.5,1
3794,Tech,"Java, Kotlin",88,0.09,0.98,1
1937,Finance,Java,67,0.26,0.06,1
4876,Retail,"SQL, AWS",95,0.67,0.99,1
4358,Tech,"React, SQL",43,0.07,0.97,1
730,Tech,"Java, Python",41,0.38,0.29,1
4379,Education,"NodeJS, Python",13,0.51,0.89,1
3452,Finance,"React, Python, Java",4,0.96,0.01,0
4458,Retail,AWS,23,0.84,0.45,1
4537,Tech,"SQL, Java, NodeJS",70,0.92,0.4,1
2141,Retail,Python,34,0.82,0.9,1
1645,Health,"NodeJS, SQL",41,0.59,0.47,1
2801,Tech,"Java, Python, AWS",18,0.86,0.42,1
4963,Tech,"AWS, NodeJS",100,0.57,0.64,1
142,Health,"AWS, SQL, Python",90,0.36,0.38,1
1456,Education,"NodeJS, Python",97,0.37,0.54,1
4797,Tech,"Java, AWS, React",33,0.57,0.96,1
2097,Retail,AWS,25,0.81,0.2,1
1326,Finance,"NodeJS, Java",52,0.13,0.46,1
4977,Retail,Java,17,0.04,0.02,0
1214,Education,"React, AWS, SQL",51,0.79,0.84,1
1160,Finance,Java,3,0.65,0.09,0
4651,Retail,Kotlin,55,0.82,0.09,1
4500,Retail,"React, SQL, AWS",86,0.98,0.88,1
4988,Health,"SQL, AWS",56,0.25,0.41,1
4698,Education,NodeJS,35,0.19,0.69,1
341,Health,"Python, Kotlin, Java",68,0.34,0.86,1
3829,Finance,"SQL, NodeJS, React",59,0.88,0.37,1
1969,Health,"AWS, Python",92,0.01,0.26,1
704,Education,"NodeJS, SQL",59,0.01,0.17,0
4414,Tech,"Kotlin, SQL",13,0.22,0.61,0
2430,Tech,"Python, NodeJS, Kotlin",62,0.38,0.25,1
1801,Finance,"SQL, AWS",94,0.3,0.63,1
4913,Tech,Python,47,0.82,0.32,1
4649,Health,"AWS, Java",76,0.69,0.35,1
856,Finance,React,3,0.84,0.25,0
1813,Education,"Kotlin, SQL",21,0.38,0.42,0
2867,Finance,"NodeJS, AWS",65,0.6,0.16,1
3643,Finance,"SQL, Python",18,0.52,0.32,0
183,Retail,"Python, NodeJS",13,0.47,0.78,1
3113,Retail,"SQL, NodeJS, Kotlin",71,0.29,0.22,1
4493,Finance,Kotlin,77,0.71,0.95,1
1518,Tech,Kotlin,81,0.52,0.49,1
1357,Retail,"SQL, Python, Java",96,0.08,0.11,1
2175,Education,"AWS, Kotlin",93,0.0,0.94,1
3630,Health,"AWS, SQL, Kotlin",45,0.02,0.46,0
3629,Retail,"AWS, NodeJS",62,0.08,0.56,1
4097,Finance,AWS,30,0.37,0.19,0
3240,Tech,Java,75,0.31,0.33,1
3692,Health,Kotlin,14,0.16,0.7,0
19,Retail,"Kotlin, AWS",53,0.52,0.12,1
3404,Tech,Python,10,0.97,0.57,1
4680,Tech,Python,72,0.16,0.69,1
4552,Tech,"Python, Kotlin",31,0.25,0.0,0
3005,Finance,NodeJS,6,0.46,0.84,1
1133,Education,"Java, Kotlin, NodeJS",83,0.64,0.06,1
3340,Tech,Kotlin,19,0.6,0.25,0
3312,Health,AWS,12,0.52,0.96,1
3373,Retail,"Kotlin, SQL, NodeJS",64,0.74,0.08,1
988,Health,Python,82,0.85,0.83,1
3322,Finance,"SQL, Kotlin",55,1.0,0.65,1
4616,Finance,"SQL, Python, AWS",67,0.47,0.6,1
4955,Health,"Java, Python, React",9,0.99,0.58,1
174,Education,"NodeJS, SQL",6,0.73,0.17,0
3742,Finance,"Kotlin, AWS",1,0.66,0.67,0
3053,Finance,"SQL, Kotlin, NodeJS",42,0.64,0.95,1
727,Health,React,93,0.91,0.08,1
3761,Finance,"NodeJS, Python",55,0.95,0.33,1
1876,Education,"NodeJS, React",49,0.18,0.47,1
4034,Education,"Python, NodeJS",99,0.49,0.23,1
990,Education,React,99,0.94,0.74,1
3745,Retail,"Python, AWS",30,0.38,0.69,1
2687,Education,"Java, SQL, NodeJS",35,0.23,0.12,0
420,Education,Java,63,0.1,0.57,1
594,Retail,SQL,22,0.6,0.37,1
1775,Tech,SQL,43,0.7,0.23,1
2460,Finance,"NodeJS, Java",28,0.2,0.85,1
936,Education,Java,18,0.67,0.05,0
3809,Finance,"Python, AWS, SQL",32,0.9,0.47,1
332,Health,Java,69,0.24,0.48,1
3450,Finance,"Kotlin, Java",54,0.12,0.57,1
2703,Retail,"NodeJS, SQL",34,0.84,0.2,1
4007,Finance,React,31,0.92,0.87,1
3869,Finance,"SQL, AWS",97,0.21,0.97,1
4201,Finance,SQL,4,0.72,0.55,0
202,Tech,"AWS, Python, SQL",14,0.59,0.26,0
2498,Tech,"NodeJS, React",15,0.24,0.88,1
1843,Health,"Java, Kotlin, NodeJS",60,0.82,0.99,1
1867,Retail,"AWS, React, NodeJS",20,0.47,0.74,1
1997,Finance,NodeJS,20,0.7,0.33,1
910,Finance,"Kotlin, React",49,0.3,0.24,1
4306,Finance,"Java, Python",99,0.82,0.16,1
4659,Finance,"NodeJS, Java",68,0.26,0.23,1
3190,Tech,"React, SQL",18,0.36,0.23,0
771,Health,"Java, React",24,0.39,0.97,1
3156,Education,"React, AWS",27,0.21,0.64,0
2502,Retail,"SQL, Kotlin, Java",33,0.87,0.17,1
2715,Finance,"AWS, NodeJS, Kotlin",64,0.11,0.49,1
4725,Health,React,25,0.56,0.18,0
3586,Education,"Kotlin, AWS, SQL",69,0.81,0.61,1
1629,Health,"NodeJS, Java, SQL",18,0.58,0.34,0
387,Tech,Kotlin,45,0.33,0.2,1
3422,Education,"AWS, Java",20,0.78,0.24,1
4009,Health,Java,35,0.5,0.68,1
4094,Tech,"React, SQL, AWS",6,0.16,0.41,0
4364,Health,"React, SQL",91,0.32,0.51,1
2467,Health,"React, Python",92,0.59,0.82,1
2283,Education,"Java, React",75,0.66,0.66,1
1857,Tech,"Python, NodeJS",9,0.55,0.46,0
1999,Finance,"Python, SQL, NodeJS",52,0.27,0.95,1
1237,Retail,SQL,28,0.59,0.21,0
4670,Education,"Python, AWS",19,0.33,0.29,0
4145,Tech,"NodeJS, Java",85,0.22,0.91,1
1151,Health,"Kotlin, React",63,0.95,0.85,1
4319,Tech,"React, AWS, Java",95,0.31,0.13,1
1432,Retail,"NodeJS, Kotlin, React",7,0.34,0.93,1
1820,Retail,React,37,0.9,0.01,1
2325,Finance,"Java, Kotlin, NodeJS",89,0.14,0.82,1
1131,Finance,"AWS, Python",92,0.58,0.28,1
2659,Retail,"NodeJS, Java",36,0.78,0.19,1
3501,Education,"Python, NodeJS",17,0.27,0.45,0
375,Education,Java,90,0.84,0.9,1
2121,Health,NodeJS,92,0.77,0.79,1
4021,Finance,SQL,37,0.49,0.97,1
2022,Health,"Kotlin, Java, NodeJS",81,0.12,0.54,1
3706,Finance,"NodeJS, SQL, AWS",60,0.97,0.51,1
3260,Retail,Python,49,0.62,0.01,1
3436,Education,"SQL, NodeJS",81,0.52,0.18,1
1890,Education,AWS,97,0.89,0.5,1
1824,Retail,"Python, Kotlin",56,0.42,0.75,1
1475,Health,SQL,34,0.56,0.82,1
2243,Health,"SQL, AWS",87,0.86,0.28,1
3244,Tech,"AWS, Kotlin, Python",30,0.39,0.71,1
3135,Finance,AWS,27,0.77,0.83,1
2071,Health,SQL,51,0.26,0.37,1
360,Retail,React,9,0.7,0.7,1
2042,Health,"SQL, Kotlin, NodeJS",20,0.51,0.44,0
1142,Education,AWS,87,0.16,0.99,1
1636,Finance,Java,47,0.14,0.01,0
4001,Tech,SQL,19,0.46,0.41,0
1944,Finance,Kotlin,68,0.71,0.26,1
4775,Education,"Java, Python",77,0.6,0.85,1
3362,Education,"Java, React, AWS",12,0.85,0.29,0
2981,Education,"Kotlin, Python",73,0.39,0.54,1
7,Education,"NodeJS, SQL, Kotlin",79,0.84,0.74,1
3268,Retail,AWS,85,0.04,0.5,1
1592,Tech,SQL,79,0.37,0.41,1
4929,Education,"Java, AWS",5,0.07,0.04,0
3265,Education,"Kotlin, Python",69,0.92,0.02,1
2607,Health,React,25,0.48,0.96,1
3220,Tech,"AWS, Kotlin, React",88,0.32,0.64,1
3274,Finance,"NodeJS, Python, AWS",31,0.49,0.83,1
914,Tech,SQL,46,0.53,0.48,1
2012,Tech,NodeJS,34,0.85,0.26,1
1443,Tech,"Java, AWS",41,0.54,0.29,1
3055,Education,"SQL, Kotlin",78,0.43,0.04,1
3547,Education,React,91,0.96,0.79,1
4222,Retail,"Java, AWS",68,0.97,0.58,1
4913,Finance,"Java, Python, React",87,0.04,0.48,1
2929,Health,"Python, NodeJS",38,0.71,0.85,1
1830,Tech,AWS,46,0.37,0.44,1
576,Finance,"SQL, NodeJS",69,0.68,0.95,1
930,Finance,SQL,27,0.64,0.01,0
3760,Retail,AWS,43,0.33,0.98,1
3700,Health,"Python, AWS",78,0.99,0.82,1
1464,Tech,"NodeJS, Java, AWS",71,0.36,0.35,1
3276,Health,AWS,45,0.63,0.6,1
4929,Retail,"Java, Kotlin",18,0.81,0.86,1
1055,Education,"NodeJS, Kotlin, Java",32,0.15,0.48,0
1901,Finance,"Kotlin, AWS",2,0.3,0.05,0
1458,Tech,"Kotlin, AWS",41,0.2,0.9,1
1400,Education,AWS,20,0.78,0.52,1
3416,Retail,SQL,93,0.8,0.55,1
443,Health,React,58,0.26,0.01,1
3651,Finance,NodeJS,90,0.0,0.1,1
4653,Tech,"AWS, Java",38,0.42,0.78,1
1179,Education,Kotlin,1,0.69,0.43,0
4459,Education,Java,69,0.62,1.0,1
1258,Finance,"Java, SQL",54,0.45,0.7,1
3635,Health,Python,14,0.3,0.95,1
1842,Retail,AWS,25,0.47,0.28,0
2310,Health,"React, AWS, Kotlin",9,0.02,0.18,0
911,Health,"NodeJS, AWS, Python",94,0.07,0.38,1
4341,Health,"React, Java, AWS",83,0.16,0.26,1
4638,Finance,"Python, SQL, Kotlin",61,0.63,0.61,1
4010,Finance,"Kotlin, NodeJS, React",52,0.22,0.74,1
2170,Retail,"Java, Kotlin",8,0.42,0.4,0
2173,Health,"Kotlin, React, NodeJS",16,0.62,0.09,0
124,Finance,"NodeJS, Kotlin",8,0.83,0.03,0
3159,Retail,React,23,0.55,0.22,0
786,Retail,"AWS, SQL, React",73,0.18,0.73,1
2417,Health,Kotlin,96,0.95,0.22,1
797,Tech,"Java, Python",34,0.09,0.91,1
4173,Health,"Python, Java, AWS",18,0.37,0.65,0
4155,Tech,"AWS, SQL",44,0.92,0.86,1
1937,Retail,"AWS, SQL",15,0.6,0.39,0
2157,Finance,"Kotlin, AWS, Java",15,0.66,0.98,1
3808,Education,Kotlin,93,0.3,0.68,1
1302,Retail,"Java, SQL, Kotlin",23,0.08,0.36,0
4164,Finance,"React, AWS",87,0.37,0.21,1
3141,Retail,"SQL, AWS",65,0.4,0.87,1
3237,Health,"Java, Python",86,0.27,0.32,1
2353,Tech,"AWS, Java, React",71,0.22,0.04,1
1933,Retail,"Python, NodeJS, SQL",32,0.36,0.28,0
2722,Finance,"AWS, Python",92,0.64,0.18,1
365,Health,AWS,32,0.95,0.32,1
4917,Education,"Java, AWS, React",33,0.7,0.61,1
2391,Health,"SQL, Java, Kotlin",43,0.78,0.5,1
947,Tech,"Kotlin, SQL, AWS",13,0.31,0.71,0
1378,Health,NodeJS,92,0.1,0.33,1
1440,Education,Kotlin,9,0.29,0.12,0
3181,Finance,"AWS, Kotlin",62,0.4,0.16,1
4858,Retail,Python,57,0.69,0.8,1
341,Tech,"NodeJS, Java",48,0.94,0.1,1
2990,Education,"NodeJS, AWS, React",43,0.81,0.8,1
383,Tech,"Python, SQL, React",67,0.27,0.21,1
1557,Health,Java,81,0.82,0.68,1
300,Tech,"SQL, Java",98,0.41,0.62,1
139,Education,"React, SQL, Python",32,0.18,0.1,0
359,Retail,NodeJS,73,0.46,0.67,1
4932,Retail,"SQL, Java, AWS",60,0.56,0.45,1
1523,Tech,"Kotlin, Python",1,0.76,0.71,1
3457,Finance,Python,57,0.35,0.84,1
1628,Tech,"AWS, Kotlin",84,0.15,0.04,1
1304,Health,Kotlin,69,0.09,0.65,1
1135,Retail,"Python, NodeJS",85,0.11,0.1,1
2187,Retail,AWS,69,0.95,0.38,1
3171,Retail,"Java, AWS",68,0.95,0.01,1
3836,Finance,"SQL, Python",61,0.97,0.33,1
2152,Finance,"AWS, Python",8,0.3,0.17,0
1238,Education,React,89,0.19,0.56,1
3736,Tech,Python,7,0.98,0.51,1
2835,Tech,React,37,0.99,0.79,1
4261,Health,Java,42,0.08,0.64,1
999,Retail,Python,32,0.75,0.71,1
2568,Finance,"Java, NodeJS",17,0.29,0.09,0
1308,Health,AWS,28,0.91,0.03,1
657,Health,SQL,70,0.09,0.97,1
2661,Finance,"SQL, React, Kotlin",48,0.89,0.43,1
2212,Tech,Java,54,0.0,0.39,1
1910,Retail,Java,42,0.52,0.04,0
3731,Tech,NodeJS,36,0.34,0.12,0
2047,Health,"SQL, Kotlin, Java",66,0.43,0.94,1
3163,Retail,SQL,31,0.43,0.69,1
1141,Education,"Kotlin, React, NodeJS",65,0.65,0.41,1
267,Health,"SQL, Java",3,0.02,0.9,0
1846,Tech,Java,13,0.69,0.59,1
1709,Tech,"Kotlin, AWS, SQL",31,0.02,0.75,0
3631,Tech,React,29,0.19,0.43,0
3212,Finance,"Python, React, SQL",57,0.61,0.43,1
2294,Health,"SQL, Kotlin",33,0.09,0.07,0
3733,Retail,"Python, SQL",53,0.99,0.73,1
3830,Tech,"SQL, Java",10,0.78,0.1,0
1511,Tech,"React, Python, Kotlin",63,0.71,0.76,1
476,Finance,"Python, React",73,0.27,0.19,1
977,Retail,"SQL, Kotlin",65,0.05,0.25,1
1208,Health,NodeJS,96,0.98,0.92,1
1961,Education,"React, NodeJS, AWS",97,0.15,0.47,1
558,Finance,"SQL, AWS",2,0.83,0.13,0
883,Health,"Java, AWS, NodeJS",2,0.2,0.91,0
2195,Education,"SQL, React",69,0.37,0.45,1
4762,Tech,"NodeJS, Python",74,0.69,0.13,1
2668,Tech,SQL,37,0.95,0.39,1
4960,Retail,AWS,2,0.02,0.59,0
4678,Education,"Java, SQL",61,0.26,0.36,1
4791,Tech,NodeJS,40,0.76,0.92,1
1611,Tech,Java,63,0.17,0.27,1
3489,Retail,"AWS, Kotlin",25,0.11,0.18,0
2455,Health,Kotlin,38,0.05,0.22,0
4495,Tech,React,37,0.5,0.08,0
1947,Finance,"NodeJS, Java",82,0.77,0.45,1
4811,Finance,AWS,27,0.96,0.88,1
4800,Health,"Python, Java",84,0.27,0.31,1
2809,Education,"NodeJS, Kotlin",50,0.12,0.26,0
3826,Retail,"SQL, React",34,0.4,0.84,1
